source,scraped_at,url,sku,title,price,currency,outcomes,outcome_prices,group_item_title,best_bid,best_ask,spread,last_trade_price,price_change_24h,price_change_1w,volume,volume_24h,volume_1w,liquidity,volume_scope,event_id,event_slug,event_title,event_url,category,subcategory,tags,start_date,end_date,active,closed,accepting_orders,market_id,condition_id,clob_token_ids,neg_risk,data_source,page,position
polymarket.com,2026-09-16T17:19:59.984460+00:00,https://polymarket.com/event/crypto-market-structure-legislation-becomes-law-in-2026-20260727223933088,crypto-market-structure-legislation-becomes-law-in-2026-20260727223933088,Crypto Market Structure legislation becomes law in 2026?,0.075,USD,Yes | No,0.075 | 0.925,,0.07,0.08,0.01,0.07,-0.1,-0.13,18217.603554,1683.432334,11293.783494,1814.6717,market,765326,crypto-market-structure-legislation-becomes-law-in-2026-20260727223933088,Crypto Market Structure legislation becomes law in 2026?,https://polymarket.com/event/crypto-market-structure-legislation-becomes-law-in-2026-20260727223933088,,,bill | Trump | Crypto | clarity | Congress | Politics | Clarity Act,2026-07-28T21:09:06.798081Z,2027-01-01T04:59:00Z,True,False,True,3190125,0x8ab4ef09c4d357811b4250f8fd9acfb662c3cfdee847188800873c8c23aefdd3,16400492942029594276841024359482697702969703806435928633892125162861133264063 | 34891260715244717647603292745823648678433460562170370399136034096740448943431,False,flight,2,1
polymarket.com,2026-09-16T17:20:08.844596+00:00,https://polymarket.com/event/record-crypto-liquidation-in-2026,record-crypto-liquidation-in-2026,Record crypto liquidation in 2026?,0.081,USD,Yes | No,0.081 | 0.919,,0.063,0.099,0.036,0.098,,0.001,70590.44847099998,,,4259.40914,market,139537,record-crypto-liquidation-in-2026,Record crypto liquidation in 2026?,https://polymarket.com/event/record-crypto-liquidation-in-2026,,,protocol-risk | Crypto | Liquidation,2026-01-05T17:55:49.487Z,2027-01-01T05:00:00Z,True,False,True,1090479,0x8aea4707af4ca2b029db4143bb020f0c8bf95d2c0d088186009471fb588f2f4a,49426006698047662039915206178335715531441670410977614316013171242804859298500 | 87441441378461465183710850456625415168165733688470074136105365199534189091182,False,flight,3,1
polymarket.com,2026-09-16T17:20:18.272315+00:00,https://polymarket.com/event/trump-eliminates-capital-gains-tax-on-crypto-in-2025/trump-eliminates-capital-gains-tax-on-crypto-before-2027,trump-eliminates-capital-gains-tax-on-crypto-before-2027,Trump eliminates capital gains tax on crypto before 2027?,0.017,USD,Yes | No,0.017 | 0.983,"December 31, 2026",0.016,0.018,0.002,0.018,,-0.0005,31908.072308999996,837.69,928.102606,1771.41906,market,25487,trump-eliminates-capital-gains-tax-on-crypto-in-2025,Trump eliminates capital gains tax on crypto by ___?,https://polymarket.com/event/trump-eliminates-capital-gains-tax-on-crypto-in-2025,,,Trump Presidency | Politics | Crypto | Trump | Taxes | Other | Fiscal | Crypto Legal,2025-12-30T21:42:39.679Z,2027-01-01T05:00:00Z,True,False,True,1068702,0x3e685c84773bd018fff4219185b904b2ef194671320f47648121d07d2ae2cc17,38577956202894813911522423295759441226459985692799781876715891336671282746369 | 31239779091556707685216681559343622450417987997527657281659332570836878668226,False,flight,4,2
polymarket.com,2026-09-16T17:20:18.272273+00:00,https://polymarket.com/event/trump-eliminates-capital-gains-tax-on-crypto-in-2025,trump-eliminates-capital-gains-tax-on-crypto-in-2025,Trump eliminates capital gains tax on crypto in 2025?,0.0,USD,Yes | No,0.0 | 1.0,December 31,,0.001,0.001,1.0,-0.0005,-0.0015,84260.394113,,2762.894748,,market,25487,trump-eliminates-capital-gains-tax-on-crypto-in-2025,Trump eliminates capital gains tax on crypto by ___?,https://polymarket.com/event/trump-eliminates-capital-gains-tax-on-crypto-in-2025,,,Trump Presidency | Politics | Crypto | Trump | Taxes | Other | Fiscal | Crypto Legal,2025-05-29T21:52:31.438Z,2027-01-01T05:00:00Z,True,True,False,548324,0x6338304dbe9b178decd25c8c2f448d2efbfb810fa5aff4a96512912e56bcff78,52705106051566244437658292370413853752794057706127643251503682370430544706216 | 24221075307909515058128508361760815750282387436356014865592674691483694461969,False,flight,4,1
polymarket.com,2026-09-16T17:19:50.414132+00:00,https://polymarket.com/event/total-crypto-hack-value-in-2026/over-2b-crypto-hack-value-in-2026,over-2b-crypto-hack-value-in-2026,Over $2B crypto hack value in 2026?,0.89,USD,Yes | No,0.89 | 0.11,>$2B,0.88,0.89,,0.77,,,82986.83,182.28,,2453.4,event,400690,total-crypto-hack-value-in-2026,Total crypto hack value in 2026?,https://polymarket.com/event/total-crypto-hack-value-in-2026,Crypto,Hack,"Crypto | hack | protocol-risk | Rewards 20, 4.5, 50",,2027-01-01T05:00:00.000Z,True,False,,2037110,,,,flight+jsonld,1,5
polymarket.com,2026-09-16T17:19:50.414148+00:00,https://polymarket.com/event/total-crypto-hack-value-in-2026/over-3b-crypto-hack-value-in-2026,over-3b-crypto-hack-value-in-2026,Over $3B crypto hack value in 2026?,0.16,USD,Yes | No,0.16 | 0.84,>$3B,0.12,0.19,,0.14,,,82986.83,182.28,,2453.4,event,400690,total-crypto-hack-value-in-2026,Total crypto hack value in 2026?,https://polymarket.com/event/total-crypto-hack-value-in-2026,Crypto,Hack,"Crypto | hack | protocol-risk | Rewards 20, 4.5, 50",,2027-01-01T05:00:00.000Z,True,False,,2037112,,,,flight,1,6
polymarket.com,2026-09-16T17:19:50.414162+00:00,https://polymarket.com/event/total-crypto-hack-value-in-2026/over-3pt5b-crypto-hack-value-in-2026,over-3pt5b-crypto-hack-value-in-2026,Over $3.5B crypto hack value in 2026?,0.21,USD,Yes | No,0.21 | 0.79,>$3.5B,0.12,0.3,,0.04,,,82986.83,182.28,,2453.4,event,400690,total-crypto-hack-value-in-2026,Total crypto hack value in 2026?,https://polymarket.com/event/total-crypto-hack-value-in-2026,Crypto,Hack,"Crypto | hack | protocol-risk | Rewards 20, 4.5, 50",,2027-01-01T05:00:00.000Z,True,False,,2037113,,,,flight,1,7
polymarket.com,2026-09-16T17:19:50.414177+00:00,https://polymarket.com/event/total-crypto-hack-value-in-2026/over-800m-crypto-hack-value-in-2026,over-800m-crypto-hack-value-in-2026,Over $800M crypto hack value in 2026?,1.0,USD,Yes | No,1.0 | 0.0,>$800M,1.0,1.0,,1.0,,,82986.83,182.28,,2453.4,event,400690,total-crypto-hack-value-in-2026,Total crypto hack value in 2026?,https://polymarket.com/event/total-crypto-hack-value-in-2026,Crypto,Hack,"Crypto | hack | protocol-risk | Rewards 20, 4.5, 50",,2027-01-01T05:00:00.000Z,True,True,,2037106,,,,flight,1,8
polymarket.com,2026-09-16T17:19:50.414190+00:00,https://polymarket.com/event/total-crypto-hack-value-in-2026/over-1b-crypto-hack-value-in-2026,over-1b-crypto-hack-value-in-2026,Over $1B crypto hack value in 2026?,1.0,USD,Yes | No,1.0 | 0.0,>$1B,1.0,1.0,,1.0,,,82986.83,182.28,,2453.4,event,400690,total-crypto-hack-value-in-2026,Total crypto hack value in 2026?,https://polymarket.com/event/total-crypto-hack-value-in-2026,Crypto,Hack,"Crypto | hack | protocol-risk | Rewards 20, 4.5, 50",,2027-01-01T05:00:00.000Z,True,True,,2037107,,,,flight,1,9
polymarket.com,2026-09-16T17:19:50.414205+00:00,https://polymarket.com/event/nothing-ever-happens-satoshi-nakamoto,nothing-ever-happens-satoshi-nakamoto,Nothing Ever Happens: Satoshi Nakamoto,0.97,USD,Nothing | Something,0.97 | 0.03,,0.96,0.98,,0.98,,,16645.86,,,13492.33,event,204498,nothing-ever-happens-satoshi-nakamoto,Nothing Ever Happens: Satoshi Nakamoto,https://polymarket.com/event/nothing-ever-happens-satoshi-nakamoto,Crypto,Satoshi,Crypto | Crypto Culture | Culture | Epstein | Parlays | Satoshi,,2026-12-31T00:00:00.000Z,True,False,,1363790,,,,flight+jsonld,1,10
